DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200516868,11/17/2020 12:00:00 AM,11/16/2020 12:00:00 AM,1930,5,Harbor,504,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,30,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,NORMANDIE                    AV,190TH                        ST,33.8583,-118.2992
200112977,06/05/2020 12:00:00 AM,06/05/2020 12:00:00 AM,2110,1,Central,158,2,624,BATTERY - SIMPLE ASSAULT,0416 1822,56,F,W,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7TH,CERES,34.0377,-118.2425
200309453,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,1720,3,Southwest,396,2,624,BATTERY - SIMPLE ASSAULT,0104 0202 0444 1236 1822,21,F,H,248,CELL PHONE STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,4300 S  VERMONT                      AV,,34.0055,-118.2915
200211002,06/05/2020 12:00:00 AM,06/05/2020 12:00:00 AM,1900,2,Rampart,237,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,1400 W  3RD                          ST,,34.0621,-118.2619
200409488,06/04/2020 12:00:00 AM,06/04/2020 12:00:00 AM,805,4,Hollenbeck,407,1,310,BURGLARY,0344 0329 1607,0,M,W,710,OTHER PREMISE,,,IC,Invest Cont,310,,,,4600 N  HUNTINGTON DR,,34.0881,-118.1877
200918181,12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1100,9,Van Nuys,901,2,624,BATTERY - SIMPLE ASSAULT,2004 0334 1822 0416 1202,63,M,O,108,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,15300    SHERMAN                      WY,,34.2012,-118.4725
200508063,04/08/2020 12:00:00 AM,04/08/2020 12:00:00 AM,830,5,Harbor,515,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400    WILMINGTON                   BL,,33.7905,-118.275
200905850,02/11/2020 12:00:00 AM,02/09/2020 12:00:00 AM,745,9,Van Nuys,946,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443,20,M,H,501,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930,,,,13800    BURBANK                      BL,,34.1722,-118.4334
201111798,07/24/2020 12:00:00 AM,07/24/2020 12:00:00 AM,1325,11,Northeast,1145,2,624,BATTERY - SIMPLE ASSAULT,0202 0400 0446 0416 1822 2004,25,M,H,203,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2500    GLENDALE                     BL,,34.1025,-118.2592
200712270,07/31/2020 12:00:00 AM,07/31/2020 12:00:00 AM,1930,7,Wilshire,722,1,210,ROBBERY,0344 0416,23,M,B,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,CROFT,3RD                          ST,34.0736,-118.3742
200906288,02/21/2020 12:00:00 AM,02/21/2020 12:00:00 AM,200,9,Van Nuys,904,2,806,PANDERING,1212 1402 0908,0,X,X,101,STREET,,,AA,Adult Arrest,806,998.0,,,WYANDOTTE,SEPULVEDA,34.203,-118.4662
200211354,06/15/2020 12:00:00 AM,06/15/2020 12:00:00 AM,100,2,Rampart,251,1,210,ROBBERY,1822 0315 0400 0104,0,X,X,401,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,600 S  RAMPART                      BL,,34.0624,-118.2813
200810229,06/03/2020 12:00:00 AM,06/03/2020 12:00:00 AM,640,8,West LA,805,2,900,VIOLATION OF COURT ORDER,2000 1814,72,F,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,900,,,,2100    QUEENSBOROUGH                LN,,34.1075,-118.4762
200904356,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1230,9,Van Nuys,952,2,649,DOCUMENT FORGERY / STOLEN FELONY,1402 0924 1822,20,F,H,255,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)",,,AA,Adult Arrest,649,998.0,,,5400    VAN NUYS                     BL,,34.1684,-118.4586
201104823,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,1200,11,Northeast,1138,2,664,"BUNCO, PETTY THEFT",0344 0701 1916,66,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,664,,,,6100    YORK                         BL,,34.1174,-118.1861
200209524,04/27/2020 12:00:00 AM,04/24/2020 12:00:00 AM,800,2,Rampart,279,1,345,DISHONEST EMPLOYEE - GRAND THEFT,0913 0344 1803,19,X,X,213,WAREHOUSE,,,IC,Invest Cont,345,,,,900    BLAINE                       ST,,34.049,-118.2689
200711238,07/02/2020 12:00:00 AM,07/02/2020 12:00:00 AM,1830,7,Wilshire,722,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0605 0417,34,M,W,707,GARAGE/CARPORT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100 N  LA CIENEGA                   BL,,34.0734,-118.3765
201016519,12/29/2020 12:00:00 AM,12/29/2020 12:00:00 AM,1713,10,West Valley,1043,2,624,BATTERY - SIMPLE ASSAULT,1822 0216 0400 0416 2004 0446,47,M,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,RESEDA                       BL,OXNARD                       ST,34.18,-118.536
200909758,05/16/2020 12:00:00 AM,05/15/2020 12:00:00 AM,2000,9,Van Nuys,933,1,330,BURGLARY FROM VEHICLE,1607 1302 0344 0329,38,M,H,101,STREET,,,IC,Invest Cont,330,,,,14600    BESSEMER                     ST,,34.1809,-118.4509
200705807,02/07/2020 12:00:00 AM,02/06/2020 12:00:00 AM,1510,7,Wilshire,778,2,624,BATTERY - SIMPLE ASSAULT,0913 1258 1251 0416 0446,13,M,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,4000 W  JOHNNIE COCHRAN VISTA,,34.0425,-118.3258
200317705,09/22/2020 12:00:00 AM,09/20/2020 12:00:00 AM,1700,3,Southwest,312,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2800 S  ORANGE                       DR,,34.0276,-118.3552
200612931,07/22/2020 12:00:00 AM,07/21/2020 12:00:00 AM,2230,6,Hollywood,678,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1000 N  SERRANO                      AV,,34.0885,-118.3064
200208382,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1800,2,Rampart,203,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1813 0448 0400,19,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,4000    MONROE                       ST,,34.0856,-118.2845
200118649,09/29/2020 12:00:00 AM,09/28/2020 12:00:00 AM,2100,1,Central,191,2,888,TRESPASSING,1822,61,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,888,,,,1400    WRIGHT                       ST,,34.0396,-118.2726
200510279,06/05/2020 12:00:00 AM,06/05/2020 12:00:00 AM,2230,5,Harbor,567,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0329 0401 1300 1309 1813 2000 1218,38,M,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,BEACON,16TH,33.7297,-118.2805
200211441,06/17/2020 12:00:00 AM,06/17/2020 12:00:00 AM,1200,2,Rampart,251,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0913 1402 1202 0400 0445 0369 0429 1817,61,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",308.0,STICK,AA,Adult Arrest,230,998.0,,,300 S  RAMPART                      BL,,34.0663,-118.2789
200809199,05/08/2020 12:00:00 AM,05/08/2020 12:00:00 AM,1550,8,West LA,889,1,310,BURGLARY,0358 0344 1822,0,X,X,217,AUTO REPAIR SHOP,,,IC,Invest Cont,310,,,,2000 S  LA CIENEGA                   BL,,34.0425,-118.3818
200115518,07/28/2020 12:00:00 AM,07/28/2020 12:00:00 AM,100,1,Central,162,2,888,TRESPASSING,1501,0,X,X,503,HOTEL,,,IC,Invest Cont,888,,,,700 S  HOPE                         ST,,34.0466,-118.259
200514785,10/02/2020 12:00:00 AM,09/30/2020 12:00:00 AM,530,5,Harbor,561,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400 W  9TH                          ST,,33.7361,-118.3082
200809764,05/21/2020 12:00:00 AM,05/21/2020 12:00:00 AM,1945,8,West LA,855,2,624,BATTERY - SIMPLE ASSAULT,0416,64,F,O,109,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1300 S  SEPULVEDA                    BL,,34.0485,-118.445
200916480,10/26/2020 12:00:00 AM,10/26/2020 12:00:00 AM,500,9,Van Nuys,937,1,310,BURGLARY,1607 0344 0354 0358 1414,57,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,6300    MURIETTA                     AV,,34.185,-118.4389
200212267,07/06/2020 12:00:00 AM,07/06/2020 12:00:00 AM,1830,2,Rampart,256,1,761,BRANDISH WEAPON,2004 1822 0421 0432 0334,59,F,H,103,ALLEY,511.0,VERBAL THREAT,IC,Invest Cont,761,930.0,,,600 S  BURLINGTON                   AV,,34.0572,-118.272
200707255,03/10/2020 12:00:00 AM,03/10/2020 12:00:00 AM,1640,7,Wilshire,745,2,901,VIOLATION OF RESTRAINING ORDER,2038,38,F,X,101,STREET,,,AO,Adult Other,901,,,,5100    EDGEWOOD                     PL,,34.0572,-118.3482
201007360,03/18/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1045,10,West Valley,1018,1,330,BURGLARY FROM VEHICLE,0344 1609 1822,27,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,15800    STRATHERN                    ST,,34.2157,-118.4772
200410962,07/19/2020 12:00:00 AM,07/19/2020 12:00:00 AM,1815,4,Hollenbeck,424,2,623,BATTERY POLICE (SIMPLE),1212 0400,0,X,X,109,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,623,,,,VALLEY                       BL,SAN PABLO,34.0655,-118.2022
200908661,04/20/2020 12:00:00 AM,04/19/2020 12:00:00 AM,1715,9,Van Nuys,901,1,310,BURGLARY,0344 1606 0354,29,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,15400    COHASSET                     ST,,34.2066,-118.4686
200314872,07/28/2020 12:00:00 AM,07/27/2020 12:00:00 AM,2230,3,Southwest,392,1,330,BURGLARY FROM VEHICLE,0344 1609 1822 1300,43,F,B,101,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,5000    6TH                          AV,,33.995,-118.3236
200708520,04/22/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1300,7,Wilshire,706,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,44,F,W,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,800 N  LAS PALMAS                   AV,,34.0853,-118.3363
200705920,02/10/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1155,7,Wilshire,721,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0352,55,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,300    HOLT                         AV,,34.0736,-118.3785
201110716,06/22/2020 12:00:00 AM,06/22/2020 12:00:00 AM,1600,11,Northeast,1132,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510,,,,2800    AVENEL                       ST,,34.1087,-118.2695
200516984,11/22/2020 12:00:00 AM,11/22/2020 12:00:00 AM,2220,5,Harbor,515,2,900,VIOLATION OF COURT ORDER,0913 1814,38,F,H,101,STREET,,,AA,Adult Arrest,900,,,,NEPTUNE                      AV,PACIFIC COAST                HY,33.7908,-118.2699
200411471,08/05/2020 12:00:00 AM,08/05/2020 12:00:00 AM,2030,4,Hollenbeck,465,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,4TH,FRESNO,34.0357,-118.2008
200213853,08/17/2020 12:00:00 AM,08/17/2020 12:00:00 AM,1415,2,Rampart,235,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2200    BEVERLY                      BL,,34.0671,-118.2714
200710075,06/05/2020 12:00:00 AM,05/30/2020 12:00:00 AM,2145,7,Wilshire,702,1,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,1822 1212 0447,0,M,W,101,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,231,,,,7500 W  MELROSE                      AV,,34.0837,-118.3532
200508720,04/26/2020 12:00:00 AM,04/26/2020 12:00:00 AM,1350,5,Harbor,521,1,520,VEHICLE - ATTEMPT STOLEN,1300 1309 1202 0202 0209,68,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,520,,,,1100    WESTMONT                     DR,,33.7635,-118.3011
200716397,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,700,7,Wilshire,722,1,350,"THEFT, PERSON",1218 0344 0400,50,M,B,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350,,,,BEVERLY,LA CIENEGA,34.0761,-118.3766
